track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
Cirrus,Bonobo,spotify:track:2lJ4d8MCT6ZlDRHKJ1br14,0.64,0.844,2,-8.412,0,0.0374,0.395,0.933,0.0827,0.364,119.042,352247,4,80.60317,13,0
"Theme From ""Bus Stop""",Jackie Gleason,spotify:track:5Jd78KUwqhZcY5msCpsDLw,0.245,0.0935,5,-19.343,1,0.0373,0.748,0.254,0.0963,0.107,124.385,222787,4,20.536,12,0
Crawling Back To You,Daughtry,spotify:track:6BDtTzjbJ5kKKSWcJT8MlX,0.438,0.919,0,-2.91,0,0.0495,0.00674,0,0.158,0.195,151.026,225813,4,34.01444,8,1
Maze of Martyr (Official Dominator 2017 anthem) - Radio Edit,Dj Mad Dog,spotify:track:1hW21b9IQeETvRqMwnn2F7,0.32,0.99,1,-2.454,1,0.344,0.00902,0.00032,0.107,0.0424,178.107,232541,4,41.48721,14,0
Hotline Bling,Drake,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,0.891,0.625,2,-7.861,1,0.0558,0.00261,0.000176,0.0504,0.548,134.967,267067,4,69.38968,8,1
Cut Her Off,KCamp Featuring 2 Chainz,spotify:track:2Vevs2eAQNNb7NTpKj5kqA,0.769,0.611,8,-2.85,1,0.039,0.098,0,0.221,0.0901,144.037,243333,4,38.21223,12,1
Beautiful People,Chris Brown Featuring Benny Benassi,spotify:track:0iSaO7CfL9NgXdM8Meu2ul,0.417,0.806,5,-5.339,0,0.16,0.0703,0.00637,0.0841,0.545,127.887,226773,4,14.73978,10,1
Survival,Eminem,spotify:track:3stOygN0I7CIvkEB2LJGbv,0.459,0.899,2,-2.978,1,0.21,0.0038,0,0.126,0.437,176.384,272417,4,30.26082,10,1
Squidwards Nose (feat. Kg Prince),Joey Trap,spotify:track:2hLhiONy3FcndFJc2CiC2e,0.634,0.88,1,-1.714,1,0.293,0.169,0,0.474,0.548,150.959,119249,4,37.52226,5,0
Windshield,Greensky Bluegrass,spotify:track:7GI1Weh21oGJYeSbrtOyR1,0.48,0.548,0,-9.119,1,0.0328,0.627,0.00502,0.205,0.322,90.109,224853,4,24.45777,9,0
Don't Speak (Instrumental),Joseph Sullinger,spotify:track:1DV7nyw8OigFfEiJ3yEFj6,0.526,0.228,0,-12.975,0,0.0542,0.975,0.903,0.106,0.239,143.295,241496,4,40.78298,9,0
Faster,Matt Nathanson,spotify:track:6plKFdrBnKF0y3CRuceTDh,0.742,0.853,9,-4.147,1,0.0393,0.00743,4.79e-06,0.332,0.95,107.03,208280,4,43.42073,10,1
Sugar,Robin Schulz Featuring Francesco Yates,spotify:track:5tf1VVWniHgryyumXyJM7w,0.636,0.815,5,-5.098,0,0.0581,0.0185,0,0.163,0.636,123.063,219043,4,31.44339,10,1
Badges,Yohuna,spotify:track:4gW4lIdFDob87TaoyREAHu,0.481,0.199,7,-14.253,1,0.0326,0.949,0.618,0.12,0.147,127.996,229500,4,47.06457,8,0
Art House Director,Broken Social Scene,spotify:track:5feuZknKlJYGMPvWvKrpwt,0.464,0.766,7,-5.298,1,0.041,0.000122,0.0275,0.544,0.335,130.458,212173,5,105.47915,6,0
10.000 Falls,Logical Terror,spotify:track:774fmDmDlvsKYdcdBnjp1Z,0.429,0.924,11,-6.456,0,0.135,0.00136,9.78e-06,0.345,0.209,180.033,241583,4,62.60494,12,0
The Healing Process,Koh Lantana,spotify:track:23puVz6Rhiq8Wax9KxnZtW,0.241,0.0553,3,-23.605,1,0.0336,0.926,0.93,0.108,0.0643,135.859,161442,1,22.19678,11,0
Love Don't Run,Steve Holy,spotify:track:1dXUWskP4zy7Inqpfy5hf6,0.512,0.532,0,-3.28,1,0.0301,0.475,0,0.0993,0.256,147.473,219267,4,33.96792,9,1
Lockjaw,French Montana Featuring Kodak Black,spotify:track:7iaw359G2XT14uTfV9feip,0.615,0.648,5,-3.792,0,0.22,0.0411,0,0.277,0.26,169.912,223147,4,59.76709,9,1
Sleep Hibernation,Moon Laika,spotify:track:0ek2PwrDkUWRqoaTq6WKDj,0.142,0.013,7,-33.299,1,0.0428,0.984,0.909,0.0994,0.0708,72.917,175132,4,55.05616,7,0
You Should See Me In A Crown,Billie Eilish,spotify:track:3XF5xLJHOQQRbWya6hBp7d,0.678,0.533,4,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455,180953,4,27.06075,9,1
Swish Swish,Katy Perry Featuring Nicki Minaj,spotify:track:3OtMnyUaiipcAT23A8liyi,0.839,0.705,5,-5.194,0,0.0445,0.0184,1.77e-05,0.102,0.575,119.954,242520,4,25.02456,11,1
Hot Tottie,Usher Featuring Jay-Z,spotify:track:1Vot6YSxInL52SGTN0XN9n,0.654,0.866,6,-4.332,0,0.286,0.00155,5.38e-06,0.0928,0.669,87.525,299333,4,22.25047,15,1
New Salem,Misery Index,spotify:track:4Hl8ohhuAt8AvjIGsyfuli,0.329,0.933,1,-4.336,1,0.0552,3.47e-06,4.09e-06,0.059,0.261,104.676,203960,4,29.48355,11,0
Raise Your Glass,P!nk,spotify:track:1gv4xPanImH17bKZ9rOveR,0.7,0.709,7,-5.006,1,0.0839,0.0048,0,0.0289,0.625,122.019,202960,4,23.8094,8,1
Mr. Misunderstood,Eric Church,spotify:track:79dlQxvdsCDApoM8XChkpy,0.385,0.808,7,-6.67,1,0.045,0.0629,0,0.33,0.546,129.22,319240,4,32.15759,8,1
Rolex,Ayo & Teo,spotify:track:0pSBuHjILhNEo55xK1zrRt,0.804,0.886,1,-2.512,1,0.04,0.0837,0,0.266,0.789,144.946,238587,4,27.10088,13,1
Worldless,I Will Never Be The Same,spotify:track:5PDTYfgeyl9EYEdztUx4Ob,0.358,0.818,1,-7.365,0,0.059,8.06e-05,0.000752,0.145,0.424,90.038,205320,4,32.36458,8,0
B**** I'm Madonna,Madonna Featuring Nicki Minaj,spotify:track:3Ik6ZVvOgr2Pu5cnI8Gsu0,0.733,0.612,3,-5.777,0,0.109,0.0478,0.000784,0.161,0.553,149.999,228853,4,39.10846,11,1
Ride 4 Me (feat. PnB Rock),Rosewood Bape,spotify:track:5EDew6KNlMSnGmnlIiuIH8,0.712,0.655,6,-5.323,0,0.0686,0.592,0,0.122,0.721,94.991,189467,4,41.38748,6,0
Death Grips,Mason Jennings,spotify:track:50rm7j7JKHMeM2PpoELhk4,0.214,0.832,6,-6.645,1,0.0507,0.284,2.33e-05,0.546,0.23,74.541,226086,4,71.18209,8,0
Baby Swing - Radio Edit,Phos Toni,spotify:track:3kpbLXeL4vSyLB4wYUKP45,0.834,0.731,11,-4.439,0,0.266,0.115,0.000268,0.368,0.828,121.93,190143,4,33.27024,6,0
Good Feeling,Flo Rida,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133,4,36.04713,8,1
You Need To Calm Down,Taylor Swift,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,171360,4,25.16103,9,1
Money,Leonardo Da Vinyl,spotify:track:0JmN63trKkriJWaor4r9nk,0.649,0.652,8,-13.641,1,0.0382,0.00145,0.548,0.0574,0.471,108.002,331676,4,58.93916,13,0
Wolf Finder General,Winterwolf,spotify:track:7dr3oCj1o5duGCZN3lVWin,0.233,0.925,6,-9.545,1,0.094,5.42e-06,0.921,0.265,0.172,135.497,165449,4,57.54756,6,0
Butterfly Doors,Lil Pump,spotify:track:4NdXQlDTzxbOMkzJGWFtz3,0.925,0.397,5,-11.265,1,0.169,0.0889,5.12e-05,0.144,0.429,130.008,132923,4,51.23142,6,1
Somebody,Natalie La Rose Featuring Jeremih,spotify:track:7ioiB40H9xKs04QtIso2I3,0.83,0.52,0,-8.714,1,0.0376,0.000792,1.25e-05,0.0656,0.735,104.99,189907,4,19.54918,8,1
Don't Cry,Lil Wayne Featuring XXXTENTACION,spotify:track:5BQrp63SHCVf4bzCzJePne,0.585,0.709,8,-6.072,1,0.319,0.409,0,0.183,0.21,111.913,249450,4,86.81431,8,1
pictures feat. Kacey Musgraves,Judah & the Lion,spotify:track:1zZIVe9x0JhdhpuQjLTjIM,0.567,0.542,2,-6.64,1,0.0309,0.309,0.000342,0.0734,0.229,125.16,253869,4,43.12072,11,0
Touch Me,Clinic,spotify:track:7ibdlh8S0E898zZNDmNefJ,0.636,0.565,1,-9.194,1,0.0311,0.00437,0.276,0.376,0.53,87.993,197538,4,21.52928,11,0
Cold Summer (feat. Tee Grizzley),Jeezy,spotify:track:1ePdxyyF6tntoUAf8PZQuF,0.701,0.731,11,-4.528,0,0.213,0.0355,0,0.389,0.36,90.015,181347,4,25.3835,8,0
The Heart Of Dixie,Danielle Bradbery,spotify:track:5FgLLtrDU4Ex2ezB9anpH5,0.456,0.637,6,-4.773,1,0.0354,0.0171,0,0.194,0.436,155.95,209453,4,24.18304,11,1
Conqueror of the Apocalypse - Remastered,Disparaged,spotify:track:4CvBUpUoFvidPasGk6Idre,0.114,0.879,10,-5.71,0,0.0766,4.12e-05,0.0864,0.0842,0.213,68.509,355613,4,121.99333,13,0
Brethren of the Pentagram,Lock Up,spotify:track:5jHBy1bwpUMET0ad6Ug3KK,0.343,0.978,6,-5.064,1,0.164,7.74e-06,2.86e-06,0.374,0.0832,120.629,95547,1,23.46464,5,0
What A Wonderful World & Somewhere Over The Rainbow [Instrumental Hawaiian Ukulele Medley],John Story,spotify:track:4wBu1yILekp1hZQKWXhQpN,0.564,0.318,0,-13.652,1,0.0616,0.899,0.96,0.0858,0.742,170.707,182000,4,37.20096,8,0
Stereo Love,Edward Maya & Vika Jigulina,spotify:track:5RfBhOGNbbXT5LiIvbHLhN,0.773,0.736,9,-5.589,1,0.0383,0.0335,0.0184,0.104,0.212,127.056,184000,4,31.45369,7,1
Nice To Meet Ya,Niall Horan,spotify:track:3cphb8kdsjElYR7r5icK3H,0.591,0.841,4,-4.351,0,0.0304,0.0119,0,0.395,0.392,109.034,158805,4,27.8013,8,1
Setting Fires,The Chainsmokers Featuring XYLO,spotify:track:2PC9Tl8SWVO2yhDDtJcrAi,0.627,0.717,8,-5.751,0,0.0376,0.017,0,0.261,0.561,105.05,247427,4,47.15061,10,1
Tropicana Fruit Juice,Ycee,spotify:track:5EIVA0ZDr605FzZpnskzBc,0.82,0.38,0,-7.989,0,0.0502,0.416,2.53e-05,0.0952,0.647,95.004,245864,4,22.23884,4,0
Sidewalks,The Weeknd Featuring Kendrick Lamar,spotify:track:4h90qkbnW1Qq6pBhoPvwko,0.542,0.721,1,-5.136,0,0.0625,0.147,0,0.348,0.623,149.831,231360,4,78.44418,9,1
Shadows of doom,Graveland,spotify:track:6JcKgXgOSKq0pMzeu3XN0V,0.313,0.845,1,-11.631,1,0.0849,0.0012,0.869,0.11,0.0555,124.991,193453,4,57.06341,5,0
Clique,"Kanye West, Jay-Z, Big Sean",spotify:track:65rRB2mspD309xE6YimZTl,0.66,0.539,9,-5.947,0,0.324,0.0534,0,0.222,0.307,109.318,293613,5,39.90831,14,1
No Llega el Olvido,Jenni Rivera,spotify:track:2l8QQVT6hYdnT79kKCU6p6,0.573,0.276,10,-8.073,1,0.0397,0.651,0,0.0909,0.442,81.898,194947,4,36.36464,8,0
Mama's Song,Carrie Underwood,spotify:track:0m8Ta268d1kBBG7lxMyWqa,0.341,0.659,2,-5.419,1,0.0357,0.442,0,0.096,0.269,79.987,240240,4,25.29826,14,1
Liv Tonight,Nelly Featuring Keri Hilson,spotify:track:2BuJG2fuvyTOMRyNHo0P17,0.591,0.91,8,-4.593,1,0.0882,0.00492,0,0.0525,0.655,135.024,271053,4,42.75408,14,1
I'll Find My Way Back To You,The Cats,spotify:track:6h75uWeUhcaU9jL4WrXXvk,0.672,0.594,9,-7.348,1,0.0312,0.0206,6.4e-06,0.191,0.817,122.374,220147,4,21.09708,13,0
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,spotify:track:5knuzwU65gJK7IF5yJsuaW,0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,251088,4,36.52339,12,1
Instrumental Music for Dogs,Sleepy Dogs,spotify:track:4npQ1Y3UgJYrFw0ZtdZ5nX,0.286,0.00486,3,-28.462,1,0.0381,0.994,0.839,0.0965,0.0323,72.179,52013,4,15.26394,3,0
Come Join The Murder,The White Buffalo & The Forest Rangers,spotify:track:1jZoQ2R3wgs1UbOhio9j8I,0.529,0.445,5,-7.156,1,0.0275,0.67,0.032,0.106,0.179,124.166,448093,4,25.91926,14,1
Attitude,Sepultura,spotify:track:5hBKrgKMI929c0kHoNomu3,0.475,0.942,1,-4.287,0,0.139,0.00141,0.0797,0.0939,0.178,80.356,255400,4,54.87165,12,0
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4,27.82757,8,1
Train Food,XXXTENTACION,spotify:track:5lar0mCUejpILVkAz50s2J,0.492,0.712,9,-7.278,0,0.691,0.564,9.1e-05,0.357,0.23,137.453,164083,3,31.63572,10,1
Sakura Trip,AIKA,spotify:track:6Cjbu2ayuoNNMC4aa78XmI,0.684,0.854,5,-5.499,1,0.0544,0.00911,0.797,0.0796,0.517,155.044,307383,4,25.20239,13,0
Plies,Tanya Gordon,spotify:track:5TrZOMisS1kr2F42vsQEi0,0.447,0.0824,8,-19.868,1,0.0608,0.994,0.912,0.154,0.154,78.169,132450,3,75.15704,6,0
Nights Like This,Kehlani Featuring Ty Dolla $ign,spotify:track:6ZRuF2n1CQxyxxAAWsKJOy,0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163,201788,4,40.891,9,1
Loved,Fresh Life Worship,spotify:track:5tfBKFnL5bhyOqKNeHoQc9,0.46,0.256,5,-9.276,1,0.0393,0.715,0,0.353,0.288,152.985,194227,4,25.96778,9,0
Infrared,Pusha T,spotify:track:6cpsixIHI63L0hwh3CwZg3,0.674,0.578,10,-8.768,0,0.298,0.0518,0.0055,0.72,0.163,112.265,170240,5,29.04994,5,1
Girl In A Country Song,Maddie & Tae,spotify:track:1GRiBe0kNCNYpjwCHIyynI,0.59,0.908,8,-3.789,1,0.084,0.285,0,0.36,0.874,160.028,217840,4,39.40916,10,1
The Way (Your Soul Must Go),Living Death,spotify:track:6943Cu7qSzgeI6zaR2ZfYT,0.248,0.911,4,-10.493,0,0.0748,4.65e-06,0.859,0.135,0.16,170.169,276453,4,29.50836,16,0
Can't Help Falling in Love,The Once,spotify:track:1zQtsarlHMwSh6CEA6Ocoh,0.277,0.441,0,-9.054,1,0.0364,0.285,5.35e-06,0.0763,0.135,96.848,183253,4,26.27623,7,0
Doom,IXION,spotify:track:0NILb1JbeLiEIM1Vq7pklf,0.225,0.712,5,-5.141,1,0.0475,0.000954,0.526,0.1,0.0488,120.032,322402,4,24.53826,14,0
Jump Right In,Zac Brown Band,spotify:track:6yIMatK8OCXC3GuIlwHxuM,0.697,0.82,1,-5.108,1,0.0575,0.0888,0,0.143,0.655,104.022,180813,4,45.04236,7,1
Punk (La Vie Antérieure),Deerhunter,spotify:track:4QGfAJcONFa4IRxMZWSlPu,0.556,0.729,2,-8.553,1,0.0662,0.531,0.148,0.15,0.786,120.004,207137,4,65.59518,9,0
Black Hole Metal,Black Crucifixion,spotify:track:6u0NhMJ5xWn4b6pWYadO2q,0.349,0.959,10,-3.854,1,0.057,2.4e-05,0.75,0.358,0.257,94.977,184547,4,65.36389,8,0
TATI,6ix9ine Featuring DJ SPINKING,spotify:track:6SOBCABlykuNrO04rmXpLs,0.779,0.767,11,-5.462,0,0.258,0.00214,0,0.102,0.523,91.981,154565,4,24.16304,8,1
Codeine Dreaming,Kodak Black Featuring Lil Wayne,spotify:track:4DTpngLjoHj5gFxEZFeD3J,0.736,0.604,1,-7.357,0,0.222,0.0652,6.43e-05,0.124,0.574,155.007,264532,4,25.5782,17,1
We Are The World 25: For Haiti,Artists For Haiti,spotify:track:07rhyW77lp2bGv8EQoZy6k,0.348,0.717,4,-5.634,1,0.0882,0.311,0,0.0786,0.28,66.21,416778,4,67.14784,13,1
Father Christmas,Lord Kitchener,spotify:track:4BvFrZLXPeGMjF6YTQp66h,0.542,0.498,7,-12.2,1,0.0405,0.918,1.69e-06,0.217,0.817,94.899,222667,4,36.66673,13,0
Turn Out The Stars,Bill Evans,spotify:track:2T68Ud1hAm15dqOhUyGVns,0.309,0.0432,0,-24.131,1,0.0542,0.995,0.951,0.0752,0.102,74.74,457093,4,32.04847,22,0
Glory And Gore,Lorde,spotify:track:5ama5p0JgVg5scQk6ryDPy,0.689,0.377,1,-8.761,1,0.0397,0.285,0,0.268,0.294,143.946,210738,4,40.20837,9,1
"Trial by Fire - Live @ Paramount Theatre, Huntington, New York",Testament,spotify:track:5x9j22lLlJf2SePPs8qXbR,0.158,0.957,10,-8.401,0,0.113,9.36e-05,0.122,0.971,0.213,181.493,280733,4,25.22299,10,0
No Such Thing As A Broken Heart,Old Dominion,spotify:track:0OlS52TmtK2gPaEtdmr7DN,0.65,0.782,8,-4.295,1,0.0721,0.295,0,0.107,0.944,171.988,176893,4,37.32713,9,1
You & I,One Direction,spotify:track:2afCBiru10AFckfOa49wIa,0.574,0.329,1,-6.829,1,0.0274,0.22,0,0.0986,0.356,130.993,237933,4,37.90808,11,1
Red Room,Offset,spotify:track:4TWflhgevIGo448fWc6mQq,0.936,0.559,7,-8.587,0,0.157,0.479,0,0.128,0.527,112.347,241440,4,30.46901,13,1
Wicked Games,The Weeknd,spotify:track:6VwBbL8CzPiC4QV66ay7oR,0.658,0.591,9,-5.197,1,0.0309,0.00959,5.27e-06,0.325,0.326,114.078,323747,4,33.29438,12,1
New Freezer,Rich The Kid Featuring Kendrick Lamar,spotify:track:2EgB4n6XyBsuNUbuarr4eG,0.884,0.698,0,-9.101,1,0.364,0.0405,0,0.195,0.575,140.068,191938,4,24.50269,8,1
Metal Works - Original Mix,PØLI,spotify:track:6YjvYK5C9gEdutoisZc7Io,0.62,0.971,1,-4.819,1,0.0616,0.000644,0.78,0.177,0.483,134.988,355556,5,86.22886,13,0
Gangnam Style,PSY,spotify:track:03UrZgTINDqvnUMbbIMhql,0.727,0.937,11,-2.871,0,0.287,0.00417,0,0.091,0.749,132.067,219493,4,39.55134,8,1
One Man Band,Old Dominion,spotify:track:08dFHFTx6r67MTsYn5ilDR,0.706,0.358,6,-8.331,1,0.0348,0.677,0,0.107,0.478,75.991,186240,4,34.99264,11,1
All To Myself,Dan + Shay,spotify:track:08tq1XcHwVt5PHXUo87i0D,0.646,0.781,1,-4.616,1,0.0313,0.208,0,0.125,0.565,94.975,169920,4,30.49802,7,1
Rain Is A Good Thing,Luke Bryan,spotify:track:1YhFtqwcN138S6ng3MT1nN,0.622,0.932,11,-4.66,0,0.0498,0.105,2.37e-06,0.328,0.519,108.051,176160,4,19.24895,7,1
Meet Me Halfway,The Black Eyed Peas,spotify:track:0xfpx7AiwgSKEtjotea2L6,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.17e-05,0.324,0.4,130.0,284373,4,30.48537,14,1
Meet Billy - Live,Genetic Control,spotify:track:5P8aqn5Nd9yksSTCrI7ext,0.28,0.9,3,-8.375,0,0.0554,0.000106,1.07e-06,0.474,0.49,95.092,259520,4,27.86171,12,0
Got to Find a Way,Harold Burrage,spotify:track:4vOxNIimvZZUFwQGkgeVGn,0.707,0.474,2,-10.037,1,0.0431,0.0429,0,0.0546,0.715,113.654,220893,4,27.32509,11,0
I,Lil Skies,spotify:track:4ZT9FnbFu1PaBfV3itxiqT,0.649,0.453,6,-7.28,1,0.085,0.627,0,0.116,0.431,99.183,181891,4,77.08385,5,1
Love Me Like Rock and Roll,Katie Noel,spotify:track:4zO7Nn26sIhg7pClNwQSwx,0.505,0.61,11,-7.019,1,0.0446,0.00663,1.99e-06,0.104,0.273,147.896,163749,4,19.49234,7,0
I'm Into You,Jennifer Lopez Featuring Lil Wayne,spotify:track:1l9OdG3g9o3TYcU7xI8yWE,0.592,0.747,8,-4.439,0,0.135,0.0181,0,0.0752,0.704,83.929,200133,4,39.12679,9,1
Doom Funk,LX Sweat,spotify:track:7n6TCxbSMRBmnVXg5h9hWu,0.364,0.503,6,-18.607,1,0.346,0.406,0.9,0.122,0.422,95.718,208040,4,55.82411,8,0
Rock Me Amadeus,Sun Diego,spotify:track:5SBFZEipvLrddLiaDrZp2c,0.594,0.637,9,-5.634,0,0.0826,0.0641,0,0.0856,0.268,88.817,189200,4,22.39088,9,0
Roll In Peace,Kodak Black Featuring XXXTENTACION,spotify:track:40oKW22ZNNkEdZLJTScaQI,0.747,0.524,10,-6.807,0,0.245,0.0306,0,0.2,0.363,140.053,213132,4,27.89104,9,1
The Last Gasp of Street Rock n' Roll,Ramallah,spotify:track:5rK0LBBDPusLJHhS7Br4wP,0.36,0.907,2,-4.111,1,0.0949,0.000587,0,0.183,0.277,139.949,310988,4,133.65366,8,0
Slave Of Pain,The Profane,spotify:track:6692xL1n9IUNejlj4ipjGk,0.56,0.927,7,-4.671,1,0.0466,0.00269,6.67e-05,0.0888,0.459,110.063,184581,4,35.67346,10,0
胜者为王,窒息,spotify:track:3SvDPc19Cm6O3EfHBJFylH,0.516,0.958,9,-3.439,0,0.128,0.00672,0.0342,0.0679,0.484,104.717,232520,4,41.39266,12,0
Fuzzybrain,Dayglow,spotify:track:57HJa4ktE7iHGrbFhwzEr2,0.488,0.51,7,-8.367,1,0.026,0.0233,0.15,0.143,0.368,104.959,219429,4,25.76391,9,0
"Work Hard, Play Hard",Wiz Khalifa,spotify:track:1ms5tNNdPouTtcD2oVF9Oz,0.787,0.666,11,-4.475,1,0.0485,0.0409,1.91e-05,0.296,0.485,140.008,219027,4,84.06304,6,1
Love The Way You Lie,Eminem Featuring Rihanna,spotify:track:15JINEqzVMv3SvJTAXAKED,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373,4,100.10832,6,1
"Disciples of the Watch - Live @ Paramount Theatre, Huntington, New York",Testament,spotify:track:1oWkZA7LS9erH5JmlKaCp2,0.165,0.977,1,-8.826,1,0.133,5.52e-05,0.54,0.879,0.0522,96.78,449493,4,76.95248,17,0
Strength of a Thousand Men,Thomas Bergersen,spotify:track:3GJZLvGXaVszYdSBLMtJFX,0.478,0.906,0,-6.781,0,0.0419,0.0962,0.919,0.115,0.59,140.021,136892,4,47.9351,6,0
Topanga,Trippie Redd,spotify:track:5aXgz1oKK8Q9z9xvTmSnrO,0.755,0.615,4,-8.245,1,0.0454,0.00587,1.75e-06,0.109,0.039,105.955,215364,4,21.54834,12,1
Lois Lane,Joey Trap,spotify:track:5TGOcmBCSwc46D6MqONQT6,0.848,0.595,0,-6.538,1,0.251,0.0554,2.64e-06,0.11,0.473,140.002,236640,4,57.05352,13,0
Punk Rock Princess,Something Corporate,spotify:track:5CLZ8XXWfNODzDZgMqtw6K,0.521,0.831,7,-6.046,1,0.0638,0.000389,0.00123,0.0992,0.261,130.032,233093,4,43.25034,9,0
Somebody That I Used To Know,Mayday Parade,spotify:track:1wSTaIg1XHXAmyMhpZXnpW,0.457,0.938,3,-4.557,1,0.0836,0.00391,9.94e-06,0.145,0.467,136.072,205320,4,42.97476,7,0
A Guy With A Girl,Blake Shelton,spotify:track:5sjIhQzNljMVrDklI91ezp,0.552,0.893,0,-4.593,1,0.0383,0.0158,0,0.105,0.777,163.948,189467,4,35.70753,10,1
Soapy,Naira Marley,spotify:track:67Ar5yu8mH1rOVInvnsG0U,0.9,0.806,1,-4.816,1,0.246,0.159,0.00971,0.0811,0.671,123.038,174043,4,62.95402,8,0
How to Screw up Your Future and Disappoint Your Loved Ones,Settle Your Scores,spotify:track:5IrhLbdayXhmWrJm6w2u0q,0.524,0.879,1,-4.403,1,0.0972,0.000204,0,0.134,0.61,96.039,251309,4,83.35424,9,0
This Beat,Agent K,spotify:track:1XZ67EIm9CdtyysfF6KmoP,0.507,0.833,9,-6.234,1,0.0603,0.007,0.157,0.0808,0.198,127.611,258462,4,29.55778,8,0
I Won't Let Go,Rascal Flatts,spotify:track:1T1C9VVQ1lb60WxWZx7KoG,0.557,0.406,4,-7.083,1,0.0278,0.742,0,0.113,0.222,131.96,227760,4,32.97309,10,1
Passing Clouds,Hiss Golden Messenger,spotify:track:2AhYkpdmBe5vqBJVtili98,0.639,0.452,4,-11.939,1,0.0966,0.242,0.0611,0.12,0.469,78.999,251080,4,101.31662,8,0
Novacane,Frank Ocean,spotify:track:4osgfFTICMkcGbbigdsa53,0.762,0.508,3,-9.112,1,0.0919,0.0584,0.00126,0.16,0.37,93.51,302347,4,52.38595,13,1
We Dem Boyz,Wiz Khalifa,spotify:track:1ULa3GfdMKs0MfRpm6xVlu,0.717,0.862,8,-4.736,1,0.054,0.00689,0,0.321,0.52,130.021,224933,4,45.05436,12,1
Lay Me Down,Sam Smith,spotify:track:64GRDrL1efgXclrhVCeuA0,0.468,0.19,4,-11.138,1,0.0373,0.919,0,0.107,0.326,125.319,219536,4,35.65947,11,1
